"Plant.ID","Family","Genus","Species","Cultivar","Sub","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"51-2006*A","Adoxaceae","Viburnum","recognitum","","","LG-PER-N",42.30446746,-71.1237903,"Good",7,"East",NA,"syn. Dentatum?"
"51-2006*B","Adoxaceae","Viburnum","recognitum","","","LG-PER-N",42.30444933,-71.12379841,"Good",7,"East",NA,"syn. Dentatum?"
"51-60*D","Adoxaceae","Viburnum","ichangense","","","19-SE",42.30091251,-71.12466629,"Good",6,"No","Asia",""
"5070-1*C","Adoxaceae","Viburnum","dentatum","","","13-SE",42.30194343,-71.12473164,"Good",32,"East","No",""
"51-60*A","Adoxaceae","Viburnum","ichangense","","","13-SW",42.3023153,-71.125165,"Good",6,"No","Asia",""
"512-83*D","Adoxaceae","Viburnum","erosum","","","19-NE",42.30180259,-71.12503913,"Good",10,"No","Asia",""
"1797-77*C","Adoxaceae","Viburnum","carlesii","","carlesii","13-SE",42.30236254,-71.12469134,"Good",8,"No","Asia",""
"17985*B","Adoxaceae","Viburnum","dentatum","","lucidum","13-SE",42.30198976,-71.12477968,"Good",32,"East","No",""
"17988*B","Adoxaceae","Viburnum","furcatum","","","11-SW",42.30300413,-71.12123453,"Fair",5,"No","Asia",""
"565-2016*B","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30731029,-71.12068394,"Good",10,"East",NA,""
"565-2016*C","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30729337,-71.12066981,"Good",10,"East",NA,""
"565-2016*E","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30726827,-71.12073979,"Fair",10,"East",NA,""
"565-2016*F","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30725662,-71.12074811,"Fair",10,"East",NA,""
"577-87*B","Adoxaceae","Viburnum","setigerum","Aurantiacum","","EG-14",42.29922924,-71.12178749,"Fair",10,"No","Asia",""
"1804-77*E","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30191035,-71.12099904,"Good",27,"Invasive","Asia",""
"584-2008*C","Adoxaceae","Viburnum","acerifolium","","","14-NW",42.3026779,-71.12370215,"Good",5,"East",NA,""
"584-2008*D","Adoxaceae","Viburnum","acerifolium","","","14-NW",42.30268233,-71.12372445,"Good",5,"East",NA,""
"593-2008*A","Adoxaceae","Viburnum","cassinoides","","","19-NE",42.30184831,-71.12501015,"Good",9,"Northeast","No","syn. Nudum?"
"17981-2*A","Adoxaceae","Viburnum","carlesii","","carlesii","13-SE",42.3022788,-71.12453548,"Good",8,"No","Asia",""
"584-2008*B","Adoxaceae","Viburnum","acerifolium","","","14-NW",42.3026857,-71.12369948,"Good",5,"East",NA,""
"616-6*A","Adoxaceae","Viburnum","sieboldii","","","15-SW",42.30190038,-71.12095646,"Fair",4,"Invasive","Asia",""
"616-6*B","Adoxaceae","Viburnum","sieboldii","","","13-SE",42.30205247,-71.12482758,"Fair",4,"Invasive","Asia",""
"619-88*A","Adoxaceae","Viburnum","erosum","","","13-SE",42.30214216,-71.12482931,"Good",10,"No","Asia",""
"619-71*A","Adoxaceae","Viburnum","sieboldii","Seneca","","19-SW",42.30102808,-71.12538687,"Fair",4,"Invasive","Asia",""
"593-2008*B","Adoxaceae","Viburnum","cassinoides","","","19-NE",42.30185115,-71.1249796,"Good",9,"Northeast","No","syn. Nudum?"
"593-2008*C","Adoxaceae","Viburnum","cassinoides","","","19-NE",42.30182962,-71.12498215,"Good",9,"Northeast","No","syn. Nudum?"
"627-2016*A","Adoxaceae","Viburnum","nudum","Bulk","","3-NW",42.30724503,-71.12076387,"Good",10,"East",NA,""
"1804-77*A","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30192918,-71.12102302,"Good",27,"Invasive","Asia",""
"1804-77*B","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30192828,-71.12101552,"Good",27,"Invasive","Asia",""
"633-93*D","Adoxaceae","Viburnum","recognitum","","","19-SW",42.30105964,-71.12527035,"Good",7,"East",NA,"syn. Dentatum?"
"633-93*A","Adoxaceae","Viburnum","recognitum","","","19-SW",42.3010856,-71.12522931,"Fair",7,"East",NA,"syn. Dentatum?"
"638-94*A","Adoxaceae","Viburnum","utile","","","LG-8E",42.30373089,-71.12385438,"Good",11,"No","Asia",""
"6119*A","Adoxaceae","Viburnum","bracteatum","","","13-SW",42.30228102,-71.12509476,"Good",14,"Southeast",NA,""
"650-2010*A","Adoxaceae","Viburnum","glomeratum","","","13-SE",42.30228913,-71.12502619,"Good",2,"No","Asia",""
